cp_id,cp_name,cp_type,country,bank_name
CP_10032,"Davis, Hardy and Schmidt Trading",High-Risk,Syria,Lee Ltd Bank
CP_10033,Hudson and Sons Holdings,Offshore,Cayman Islands,"Curry, Perry and Garcia Bank"
CP_10034,Heather Ellis,Individual,Philippines,"Simmons, Garcia and Sparks Bank"
CP_10035,"Morales, Morgan and Moore Holdings",Offshore,Cayman Islands,"Ramos, Gomez and Edwards Bank"
CP_10036,Kirk-Gutierrez Corp,Corporate,Germany,"Jordan, Swanson and Franklin Bank"
CP_10037,"Gardner, Brooks and Pierce Corp",Corporate,China,"King, Nixon and West Bank"
CP_10038,Smith-Johnson Corp,Corporate,USA,Larson-Holmes Bank
CP_10039,Smith-Joyce Holdings,Offshore,Seychelles,Foley Inc Bank
CP_10040,Terri Short,Individual,India,"Dixon, Duncan and Duncan Bank"
CP_10041,Johnson LLC Trading,High-Risk,Myanmar,Taylor LLC Bank
CP_10042,"Wright, Scott and Evans Corp",Corporate,China,"Ross, Hardin and Navarro Bank"
CP_10043,"Nguyen, Olson and Freeman Trading",High-Risk,Myanmar,"Warner, Weiss and Davis Bank"
CP_10044,"Evans, Cross and Johnston Holdings",Offshore,Seychelles,Deleon LLC Bank
CP_10045,Hobbs-Hamilton Trading,High-Risk,Syria,Kane and Sons Bank
CP_10046,Sarah Mcfarland,Individual,India,"Waters, Reyes and Torres Bank"
CP_10047,Joshua Hernandez,Individual,Egypt,"Wolfe, Hernandez and Nunez Bank"
CP_10048,Maddox-Mullins Trading,High-Risk,North Korea,"Wagner, Walker and Roberts Bank"
CP_10049,Hernandez-Rogers Holdings,Offshore,BVI,Duncan-Williams Bank
CP_10050,Baker-Ross Corp,Corporate,Germany,Ayala-Anderson Bank
CP_10051,Castillo and Sons Holdings,Offshore,Panama,Foster-Duncan Bank
CP_10052,Yolanda Warren,Individual,UK,Jones Group Bank
CP_10053,Thomas Davis,Individual,UK,"Gutierrez, Diaz and Lee Bank"
CP_10054,Wheeler-Johnson Corp,Corporate,China,Jackson-Bailey Bank
CP_10055,Hanson-Alexander Trading,High-Risk,Syria,Gonzalez LLC Bank
CP_10056,Todd Inc Holdings,Offshore,Cayman Islands,Singh and Sons Bank
CP_10057,"Mcintosh, Melton and Wilkins Corp",Corporate,Saudi Arabia,Cooper Inc Bank
CP_10058,Cole-Johnson Holdings,Offshore,Cayman Islands,Singh and Sons Bank
CP_10059,Payne LLC Corp,Corporate,Germany,"Webb, Blair and Thomas Bank"
CP_10060,"Barnett, Bennett and Escobar Trading",High-Risk,Myanmar,"Williams, Jackson and Campbell Bank"
CP_10061,Lisa Brown,Individual,India,"Landry, Jones and Guerrero Bank"
CP_10062,"Christian, Keller and Lin Trading",High-Risk,North Korea,Carter Ltd Bank
CP_10063,Hall-James Corp,Corporate,Saudi Arabia,"Garcia, Stewart and Delacruz Bank"
CP_10064,Charlotte Mason,Individual,Egypt,Castro-Marquez Bank
CP_10065,Wright PLC Corp,Corporate,Germany,Cook-Long Bank
CP_10066,Smith Ltd Trading,High-Risk,North Korea,Kelly-Turner Bank
CP_10067,"Hill, Brown and Scott Trading",High-Risk,Iran,Zamora-Briggs Bank
CP_10068,Justin Ramirez,Individual,Egypt,Peterson Group Bank
CP_10069,"Taylor, Blair and Meyer Corp",Corporate,Saudi Arabia,"Salazar, Garrett and Perez Bank"
CP_10070,Berry Group Trading,High-Risk,Syria,Browning-Murphy Bank
CP_10071,"Anderson, Delgado and Carpenter Corp",Corporate,China,"Mcbride, Huffman and Parker Bank"
CP_10072,"Roach, Browning and Jordan Holdings",Offshore,BVI,Douglas PLC Bank
CP_10073,Stewart PLC Trading,High-Risk,North Korea,"Fry, Wilson and Stewart Bank"
CP_10074,Monica Cannon,Individual,India,Ali-Turner Bank
CP_10075,Samantha Walsh,Individual,UK,"Hill, Maxwell and Rodriguez Bank"
CP_10076,Johnson PLC Corp,Corporate,USA,"Adams, Bradley and Hall Bank"
CP_10077,Hall Inc Trading,High-Risk,North Korea,Miller-Chan Bank
CP_10078,Shaw PLC Corp,Corporate,China,Joseph-Brooks Bank
CP_10079,Henry-Taylor Trading,High-Risk,Iran,Perez Group Bank
CP_10080,Alexis Nelson,Individual,UK,Walker-Powers Bank
CP_10081,Daniel Thompson,Individual,UK,Camacho-Burns Bank
CP_10082,Delacruz-Clay Trading,High-Risk,Iran,Sullivan-Williams Bank
CP_10083,"Holloway, Cortez and Long Corp",Corporate,Germany,"Armstrong, Herrera and Davidson Bank"
CP_10084,"Buchanan, Meyer and Hayes Trading",High-Risk,Syria,Rich and Sons Bank
CP_10085,"Medina, Terrell and Williams Trading",High-Risk,Iran,Black-Mccoy Bank
CP_10086,Lee Group Corp,Corporate,USA,Wilkerson-Ayala Bank
CP_10087,Christopher Phillips,Individual,India,Vaughn and Sons Bank
CP_10088,Matthew Davis,Individual,India,"Wilson, Osborne and Pace Bank"
CP_10089,Brandy Gutierrez,Individual,UK,Johnson-Chavez Bank
CP_10090,"Huang, Khan and Davis Corp",Corporate,Saudi Arabia,Holt-Meadows Bank
CP_10091,Higgins Inc Holdings,Offshore,BVI,Wilson Group Bank
CP_10092,"Cox, Mills and Cruz Corp",Corporate,China,"Salazar, Moore and Pierce Bank"
CP_10093,Tate LLC Corp,Corporate,Saudi Arabia,"Savage, Huffman and Martin Bank"
CP_10094,White Ltd Corp,Corporate,Saudi Arabia,Barnes LLC Bank
CP_10095,"Mack, Griffin and Sims Holdings",Offshore,BVI,Roach and Sons Bank
CP_10096,Dean LLC Corp,Corporate,China,Ellis Group Bank
CP_10097,"Aguirre, Franklin and Snyder Trading",High-Risk,Iran,Chapman Group Bank
CP_10098,Ortiz-Miller Trading,High-Risk,North Korea,"Smith, Khan and Ramirez Bank"
CP_10099,Samantha Clark,Individual,Philippines,Hernandez Ltd Bank
CP_10100,Johnson-Nash Holdings,Offshore,BVI,"Lane, Morrison and Rivera Bank"
CP_10101,Brian Chaney,Individual,India,Powers PLC Bank
CP_10102,"Holt, Larson and Cobb Holdings",Offshore,Panama,Burch Ltd Bank
CP_10103,"Ward, Johnson and Mack Trading",High-Risk,Iran,Richardson-Gray Bank
CP_10104,Chang PLC Corp,Corporate,Germany,Carter and Sons Bank
CP_10105,Neal LLC Trading,High-Risk,Myanmar,Rose-Warren Bank
CP_10106,"Clark, Brown and Duncan Corp",Corporate,Germany,"Rice, Miller and Ramsey Bank"
CP_10107,"Peck, Andersen and Mitchell Corp",Corporate,Germany,"Abbott, Green and Andrews Bank"
CP_10108,"Gomez, Anderson and Hart Corp",Corporate,China,"Daniel, Jimenez and Morton Bank"
CP_10109,"Hall, Roberts and Lee Holdings",Offshore,Panama,Johnson Ltd Bank
CP_10110,Mclaughlin and Sons Holdings,Offshore,Panama,"Duarte, Gutierrez and Cook Bank"
CP_10111,"Shaffer, Lewis and Davidson Trading",High-Risk,Myanmar,"Campbell, Tyler and Parker Bank"
CP_10112,"Pierce, Wang and Wilson Trading",High-Risk,Syria,Peterson-Ramsey Bank
CP_10113,"Choi, Collier and Lee Corp",Corporate,Saudi Arabia,Nielsen-Mendoza Bank
CP_10114,Robles-Brewer Corp,Corporate,China,Moore-Murray Bank
CP_10115,"Huang, Ford and Olsen Holdings",Offshore,Panama,"Brown, Meyer and Cunningham Bank"
CP_10116,Kristen Smith,Individual,UK,"Jennings, Marsh and Barron Bank"
CP_10117,Jones-Hernandez Corp,Corporate,Saudi Arabia,Morgan Group Bank
CP_10118,"Ferguson, Martin and Obrien Holdings",Offshore,BVI,Larson LLC Bank
CP_10119,"Hodge, Mckinney and Nelson Corp",Corporate,Germany,Crawford and Sons Bank
CP_10120,Hayes-Sampson Holdings,Offshore,Seychelles,Warren and Sons Bank
CP_10121,Richard Strickland,Individual,India,Wallace Inc Bank
CP_10122,Susan Moore,Individual,Philippines,Mclean-Oconnor Bank
CP_10123,"Collins, Murphy and Hammond Corp",Corporate,China,Short PLC Bank
CP_10124,"Haney, Harris and Johnson Holdings",Offshore,BVI,Reeves-Boyd Bank
CP_10125,Collins Inc Trading,High-Risk,Iran,"Charles, Wiggins and Cook Bank"
CP_10126,Garcia Ltd Trading,High-Risk,Iran,"Edwards, Lane and Collins Bank"
CP_10127,Flores and Sons Holdings,Offshore,Cayman Islands,Hill-Flores Bank
CP_10128,Lambert-Nelson Holdings,Offshore,Seychelles,Hill Inc Bank
CP_10129,"Castro, Garcia and Daniels Holdings",Offshore,Seychelles,"Flores, Thomas and Bush Bank"
CP_10130,Andrews-Jackson Corp,Corporate,Saudi Arabia,Austin-Morgan Bank
CP_10131,Williams-Johnson Corp,Corporate,China,"Williams, Reyes and Miller Bank"
CP_10132,White-Carlson Corp,Corporate,USA,"Soto, Vaughn and Griffin Bank"
CP_10133,Edwards-Roth Trading,High-Risk,Myanmar,"Chang, Lamb and Miller Bank"
CP_10134,Pamela Bradley,Individual,Philippines,Hess Ltd Bank
CP_10135,Davis-Collins Holdings,Offshore,Seychelles,"Mckinney, Marshall and Hall Bank"
CP_10136,Thomas PLC Corp,Corporate,China,Durham-Myers Bank
CP_10137,"Stark, Rivera and Valencia Holdings",Offshore,Cayman Islands,Chavez-Johnson Bank
CP_10138,Gregory Murray,Individual,India,Campbell LLC Bank
CP_10139,"Andrews, Romero and Sullivan Holdings",Offshore,Seychelles,"Robles, Nguyen and Banks Bank"
CP_10140,Kim Morales,Individual,Egypt,Allen-Sanchez Bank
CP_10141,Dickson Group Holdings,Offshore,BVI,Peterson Ltd Bank
CP_10142,Rachel Graham,Individual,UK,Stephens-Young Bank
CP_10143,Angela Galvan,Individual,UK,"Copeland, Wilson and Carlson Bank"
CP_10144,Peters-Short Trading,High-Risk,Myanmar,Parker Group Bank
CP_10145,George Ltd Corp,Corporate,Germany,"Wise, Gray and Snyder Bank"
CP_10146,"Brown, Robinson and Taylor Trading",High-Risk,Myanmar,"Berger, Fields and Smith Bank"
CP_10147,Guerrero Group Corp,Corporate,USA,"Carter, Gilbert and West Bank"
CP_10148,Maldonado LLC Holdings,Offshore,Seychelles,Hudson-Gentry Bank
CP_10149,Tony Graham,Individual,UK,Mooney-Aguilar Bank
CP_10150,"Downs, Powell and Anderson Corp",Corporate,USA,Brown-Santana Bank
CP_10151,Smith PLC Corp,Corporate,Germany,Rodriguez-Campbell Bank
CP_10152,Young Ltd Trading,High-Risk,Syria,"Long, Flores and Reyes Bank"
CP_10153,Graham-Clark Holdings,Offshore,BVI,Wells and Sons Bank
CP_10154,"Cruz, Middleton and Larsen Trading",High-Risk,Syria,Roberts Ltd Bank
CP_10155,Taylor Inc Holdings,Offshore,BVI,"Smith, Griffith and Tucker Bank"
CP_10156,Proctor-Taylor Holdings,Offshore,Panama,May Group Bank
CP_10157,English-Dominguez Corp,Corporate,Saudi Arabia,Hanson-Gibson Bank
CP_10158,Robert Cruz,Individual,UK,Lopez PLC Bank
CP_10159,Lane Ltd Holdings,Offshore,Cayman Islands,Joseph LLC Bank
CP_10160,House-Johnston Corp,Corporate,Germany,Good PLC Bank
CP_10161,Mr. Kevin Nixon,Individual,India,Thomas Ltd Bank
CP_10162,"Terrell, Terrell and Maxwell Holdings",Offshore,BVI,Black-Mills Bank
CP_10163,"Davis, Kennedy and Harmon Trading",High-Risk,Myanmar,"Miller, Schultz and Yates Bank"
CP_10164,Austin-Berger Trading,High-Risk,Syria,"Osborne, Harrison and Hunt Bank"
CP_10165,Berry-Rivera Holdings,Offshore,BVI,Yu-Yates Bank
CP_10166,Jackson-Neal Trading,High-Risk,Syria,"Curry, Acosta and Elliott Bank"
CP_10167,Soto PLC Corp,Corporate,Saudi Arabia,Berry Ltd Bank
CP_10168,Lamb-Weber Holdings,Offshore,Cayman Islands,Washington-Martinez Bank
CP_10169,Richard King,Individual,Egypt,"Campbell, Hodge and Smith Bank"
CP_10170,Christopher Vargas,Individual,UK,Hopkins LLC Bank
CP_10171,Debbie Haynes,Individual,India,White-Rose Bank
CP_10172,Cooper Inc Trading,High-Risk,Syria,Larson and Sons Bank
CP_10173,Mullins-Gutierrez Holdings,Offshore,BVI,Young-Alexander Bank
CP_10174,Christine Navarro,Individual,Philippines,Brown-Baker Bank
CP_10175,Amy Marshall,Individual,India,Turner-Reese Bank
CP_10176,"Hall, Vega and Price Trading",High-Risk,Syria,Thomas-Berg Bank
CP_10177,Roberts Group Holdings,Offshore,Cayman Islands,Gregory-Nixon Bank
CP_10178,Amanda Hardin,Individual,India,"Gomez, Richard and Bishop Bank"
CP_10179,"Garrison, Rogers and Adams Trading",High-Risk,Myanmar,Scott PLC Bank
CP_10180,Murray-Leonard Trading,High-Risk,Myanmar,Navarro PLC Bank
CP_10181,Kelly Byrd,Individual,Philippines,Edwards Inc Bank
CP_10182,"Smith, Jones and Jenkins Corp",Corporate,China,"Garcia, Griffin and Robinson Bank"
CP_10183,King-Johnson Corp,Corporate,Saudi Arabia,"Davis, Mays and Douglas Bank"
CP_10184,Sampson Ltd Trading,High-Risk,Syria,Erickson Inc Bank
CP_10185,Larry Bennett,Individual,Pakistan,"Knight, Coffey and Kemp Bank"
CP_10186,"Lopez, Phillips and Guerrero Trading",High-Risk,Syria,Fowler LLC Bank
CP_10187,Melissa Contreras,Individual,India,Scott-Norman Bank
CP_10188,Antonio Price,Individual,UK,Scott LLC Bank
CP_10189,Alexander Group Trading,High-Risk,North Korea,Bishop and Sons Bank
CP_10190,"Vasquez, Thomas and Mack Trading",High-Risk,Iran,Mendez Inc Bank
CP_10191,Michelle Garcia,Individual,UK,Jones Ltd Bank
CP_10192,Waters-Smith Trading,High-Risk,Iran,Hernandez-Bowman Bank
CP_10193,Ortega LLC Holdings,Offshore,Cayman Islands,Graves Group Bank
CP_10194,"Smith, Zimmerman and Wise Holdings",Offshore,Cayman Islands,Graham-Anthony Bank
CP_10195,Fernandez Inc Trading,High-Risk,Iran,Finley-Meyers Bank
CP_10196,Mr. Timothy Howard,Individual,India,"Turner, Brown and Shea Bank"
CP_10197,"Davis, Nichols and Woodward Trading",High-Risk,Myanmar,Randall LLC Bank
CP_10198,"Harris, Spencer and Ponce Trading",High-Risk,Myanmar,"Lee, Dominguez and Mosley Bank"
CP_10199,"Barker, Tucker and Mcclure Holdings",Offshore,Panama,Moss-Taylor Bank
CP_10200,Johnson PLC Corp,Corporate,Germany,Burns Inc Bank
CP_10201,"Schneider, Porter and Hanna Holdings",Offshore,Cayman Islands,Levy-Smith Bank
CP_10202,Brown-French Trading,High-Risk,Syria,Sullivan and Sons Bank
CP_10203,"Contreras, Ellis and Gregory Corp",Corporate,Saudi Arabia,"Hernandez, Riley and Buckley Bank"
CP_10204,Charles Valdez,Individual,Egypt,Meadows-Montgomery Bank
CP_10205,Haynes and Sons Trading,High-Risk,Syria,Jackson Inc Bank
CP_10206,Samantha Davis,Individual,India,"Jackson, Garza and Meyers Bank"
CP_10207,Wilson PLC Holdings,Offshore,Panama,"Walker, Brock and Simmons Bank"
CP_10208,"Gregory, Nguyen and Daugherty Corp",Corporate,USA,"Gardner, Morris and Oconnell Bank"
CP_10209,Angel Thompson,Individual,Philippines,Martinez and Sons Bank
CP_10210,Carol Wood,Individual,India,Gonzales PLC Bank
CP_10211,Brett Boone,Individual,Philippines,"Bennett, Moore and Hobbs Bank"
CP_10212,Smith and Sons Corp,Corporate,Germany,Mann PLC Bank
CP_10213,Butler-Aguirre Corp,Corporate,Germany,Schwartz-Harris Bank
CP_10214,Kelly Jenkins,Individual,Pakistan,Bishop Inc Bank
CP_10215,"White, Porter and Clements Trading",High-Risk,North Korea,"Serrano, Turner and Barnes Bank"
CP_10216,"Young, Wilson and Moreno Holdings",Offshore,BVI,Montgomery PLC Bank
CP_10217,"Robinson, Townsend and Hopkins Corp",Corporate,USA,Brown-Rodriguez Bank
CP_10218,Jennings Group Corp,Corporate,USA,Thompson-Santiago Bank
CP_10219,Matthew Mitchell,Individual,Philippines,King-Jensen Bank
CP_10220,Williams-Yang Corp,Corporate,China,"Thompson, Floyd and Washington Bank"
CP_10221,Jones and Sons Trading,High-Risk,Syria,"Wallace, Riley and Barnes Bank"
CP_10222,"Rhodes, Nguyen and Maxwell Trading",High-Risk,North Korea,Perez-Young Bank
CP_10223,Kane-Bennett Trading,High-Risk,Syria,Jones PLC Bank
CP_10224,Dr. Charles Reilly,Individual,UK,Thompson-Brooks Bank
CP_10225,Cortez-Chen Trading,High-Risk,Syria,Harris-Martinez Bank
CP_10226,"Carroll, Ramirez and Rodriguez Corp",Corporate,Germany,Ellis-Jackson Bank
CP_10227,Robinson-Phillips Holdings,Offshore,Seychelles,Clarke Ltd Bank
CP_10228,"Whitehead, Lane and Tran Corp",Corporate,USA,Miller PLC Bank
CP_10229,Zachary Vargas PhD,Individual,Egypt,Smith-Patterson Bank
CP_10230,Wright Group Trading,High-Risk,Syria,"Walker, Pennington and Shah Bank"
CP_10231,Stephanie Butler,Individual,Pakistan,Williams Group Bank
CP_10232,Kathy Simmons,Individual,Pakistan,Mendoza-Yates Bank
CP_10233,Chavez and Sons Holdings,Offshore,BVI,Hansen Inc Bank
CP_10234,"Dennis, Dodson and Anderson Corp",Corporate,Saudi Arabia,Allen-Duarte Bank
CP_10235,Castillo LLC Corp,Corporate,USA,Warner PLC Bank
CP_10236,"Silva, Bray and Ford Corp",Corporate,Germany,Sawyer Group Bank
CP_10237,Clarke LLC Holdings,Offshore,Seychelles,"Marshall, Schultz and Dalton Bank"
CP_10238,Steven Cook,Individual,UK,Phillips LLC Bank
CP_10239,"Shah, Daniels and Norton Holdings",Offshore,Seychelles,"Miller, Gilmore and Fitzgerald Bank"
CP_10240,Tony Leonard,Individual,UK,Rodriguez LLC Bank
CP_10241,Andrew Richardson,Individual,India,"Hansen, Jones and Fletcher Bank"
CP_10242,Taylor LLC Holdings,Offshore,Panama,Fernandez Ltd Bank
CP_10243,Mclaughlin-Goodwin Trading,High-Risk,Syria,"Clark, Mcgee and Perez Bank"
CP_10244,Derek Frazier,Individual,Egypt,Brown-Watson Bank
CP_10245,Jonathan Gallegos,Individual,Pakistan,Mckinney-Gregory Bank
CP_10246,"Lam, Hayes and Richardson Corp",Corporate,Germany,"Dougherty, Lamb and Everett Bank"
CP_10247,Lopez Group Corp,Corporate,Saudi Arabia,Miller and Sons Bank
CP_10248,Mullen-Jones Trading,High-Risk,Syria,Hill Ltd Bank
CP_10249,Crawford and Sons Holdings,Offshore,Cayman Islands,"Crane, Johnson and Butler Bank"
CP_10250,Tara Wells,Individual,India,Wallace-Newman Bank
CP_10251,Arthur Wiggins,Individual,Egypt,Conley PLC Bank
CP_10252,Jennifer Cooper,Individual,Egypt,"Buchanan, Tucker and Wade Bank"
CP_10253,Kimberly Ellis,Individual,India,"Anderson, Clarke and Jackson Bank"
CP_10254,Perez-Watson Holdings,Offshore,Seychelles,Carrillo-Williams Bank
CP_10255,Mitchell-Huber Corp,Corporate,USA,"Glass, Joseph and Mitchell Bank"
CP_10256,Franco Ltd Corp,Corporate,Saudi Arabia,"Bauer, Martin and Wilson Bank"
CP_10257,Andrews-Alexander Trading,High-Risk,Syria,Lopez-Hart Bank
CP_10258,Wade LLC Holdings,Offshore,BVI,Watson PLC Bank
CP_10259,Ferguson Inc Corp,Corporate,Saudi Arabia,Sullivan Group Bank
CP_10260,Theresa Reilly,Individual,India,Smith Ltd Bank
CP_10261,"Cantrell, Rivera and Thornton Holdings",Offshore,Panama,Kemp-Montes Bank
CP_10262,Wendy Estrada,Individual,Philippines,"Chandler, Nielsen and Morgan Bank"
CP_10263,John Williams,Individual,India,"Pierce, Parker and Morales Bank"
CP_10264,Jill Davis,Individual,India,Franklin and Sons Bank
CP_10265,"Fox, Harrington and Wang Trading",High-Risk,Syria,Johnson PLC Bank
CP_10266,Rhodes-Rosario Holdings,Offshore,Panama,"Foster, Henry and Morrison Bank"
CP_10267,Amy Estrada,Individual,Philippines,Hernandez-Nash Bank
CP_10268,Hughes-Smith Trading,High-Risk,Iran,Bell-Madden Bank
CP_10269,Anita Luna,Individual,India,Figueroa-Perry Bank
CP_10270,Christopher Luna,Individual,India,Chandler-Perry Bank
CP_10271,"Harper, Thomas and Turner Holdings",Offshore,Seychelles,"Hatfield, Jones and Choi Bank"
CP_10272,Davis-Ortiz Corp,Corporate,Saudi Arabia,Perry-Peters Bank
CP_10273,"Bradley, Melendez and Gonzalez Holdings",Offshore,Panama,Roberts-Henry Bank
CP_10274,Davenport-Torres Trading,High-Risk,Syria,"Singh, Walker and Moody Bank"
CP_10275,Baker Ltd Corp,Corporate,Saudi Arabia,"Kennedy, Valdez and Stafford Bank"
CP_10276,White-Knox Corp,Corporate,Saudi Arabia,"Sanchez, Wilson and Ramirez Bank"
CP_10277,Andrea Reese DDS,Individual,Philippines,"Graham, Scott and Jennings Bank"
CP_10278,Sabrina Brooks,Individual,Pakistan,"Johnston, Bruce and Martin Bank"
CP_10279,Thomas Group Trading,High-Risk,Myanmar,"Taylor, Martin and Nelson Bank"
CP_10280,Fields-Friedman Corp,Corporate,Saudi Arabia,Roberts PLC Bank
CP_10281,"Mayer, Palmer and Miranda Trading",High-Risk,Iran,Duran PLC Bank
CP_10282,Kimberly Brennan,Individual,Pakistan,"Marsh, Nelson and Wolfe Bank"
CP_10283,Joseph Bell,Individual,UK,Smith PLC Bank
CP_10284,Richard Jenkins,Individual,Pakistan,Garcia and Sons Bank
CP_10285,"Walker, Lopez and Prince Trading",High-Risk,Iran,"Norris, Cisneros and Mathis Bank"
CP_10286,"Arnold, Avila and Wilson Holdings",Offshore,Seychelles,Moon-Wilson Bank
CP_10287,Mclean Group Trading,High-Risk,North Korea,Collins-Cox Bank
CP_10288,Preston-Harper Holdings,Offshore,Seychelles,Jackson-Torres Bank
CP_10289,"Olsen, Walker and Vincent Holdings",Offshore,BVI,Watts LLC Bank
CP_10290,Clark Inc Corp,Corporate,Saudi Arabia,Vazquez-Bowers Bank
CP_10291,Smith Group Trading,High-Risk,North Korea,Williams-Rodriguez Bank
CP_10292,"Palmer, Brown and Wilson Holdings",Offshore,Cayman Islands,Williams-Turner Bank
CP_10293,Brent Martinez,Individual,Philippines,"Harris, Santana and Lopez Bank"
CP_10294,Johnson-Thomas Holdings,Offshore,Seychelles,"Mcmahon, Rush and Bailey Bank"
CP_10295,Wyatt Ltd Holdings,Offshore,Cayman Islands,"Allen, Hudson and Garcia Bank"
CP_10296,"Hines, Rice and Baldwin Trading",High-Risk,North Korea,Jackson-Webster Bank
CP_10297,Nicholas Glass,Individual,UK,"York, Wells and Wolfe Bank"
CP_10298,Gonzales Inc Holdings,Offshore,Panama,Davenport Group Bank
CP_10299,Lewis-Perez Holdings,Offshore,Seychelles,Juarez LLC Bank
CP_10300,Brian Taylor,Individual,Egypt,Bush-Hawkins Bank
CP_10301,Miller Group Corp,Corporate,China,Cruz Group Bank
CP_10302,"Fitzgerald, Mcdaniel and Randall Corp",Corporate,Saudi Arabia,Spencer LLC Bank
CP_10303,Mrs. Shannon Jacobson,Individual,UK,Crosby-Richardson Bank
CP_10304,Lutz Group Trading,High-Risk,Iran,"Garcia, Kim and Barrett Bank"
CP_10305,Wilson Group Trading,High-Risk,Syria,Neal-Madden Bank
CP_10306,"Schaefer, Levine and Brown Holdings",Offshore,Cayman Islands,Morgan PLC Bank
CP_10307,Martinez-Massey Holdings,Offshore,Seychelles,"Porter, Hubbard and Miranda Bank"
CP_10308,"Nelson, Clarke and Schneider Holdings",Offshore,Seychelles,Kelly-Estrada Bank
CP_10309,Archer-Dixon Trading,High-Risk,Syria,Tate Inc Bank
CP_10310,King Group Trading,High-Risk,Syria,Fuller and Sons Bank
CP_10311,Garcia Inc Corp,Corporate,Saudi Arabia,Jimenez Inc Bank
CP_10312,Janet Shelton,Individual,Egypt,Turner PLC Bank
CP_10313,Wolf Ltd Trading,High-Risk,Syria,"Saunders, Sparks and Harris Bank"
CP_10314,Katherine Green,Individual,Philippines,Pacheco-Fernandez Bank
CP_10315,Cisneros Inc Holdings,Offshore,Panama,Beard-Wilson Bank
CP_10316,Edwards-Bennett Trading,High-Risk,Syria,Johnson-Thompson Bank
CP_10317,"Dalton, Turner and Mccarthy Holdings",Offshore,Cayman Islands,Jordan-Edwards Bank
CP_10318,Freeman-Rodriguez Holdings,Offshore,Panama,"Henry, Spencer and Ryan Bank"
CP_10319,Alvarez-Dickerson Holdings,Offshore,Seychelles,"Brown, Baker and Garza Bank"
CP_10320,Michael Miranda,Individual,Pakistan,Flores-Johnson Bank
CP_10321,Russell Bailey,Individual,Pakistan,"Silva, Hubbard and Garrett Bank"
CP_10322,Davis-Reed Trading,High-Risk,Myanmar,Jenkins-Brown Bank
CP_10323,Wright Ltd Trading,High-Risk,Myanmar,Watkins-Lozano Bank
CP_10324,Melton Inc Corp,Corporate,China,Jackson-Ryan Bank
CP_10325,Murray Group Corp,Corporate,USA,"Robertson, Fisher and Smith Bank"
CP_10326,Chapman-Odom Trading,High-Risk,Myanmar,Hudson-Morris Bank
